xAcc, yAcc, zAcc, xGyro, yGyro, zGyro, steeringPercent, acceleratorPercent, coures, targetCourse
-1156,-420,13476,33,6,184,10,0,0,0
-1132,-404,13424,29,33,215,10,0,0,0
-1088,-444,13396,32,18,193,10,0,0,0
-1132,-424,13316,30,36,195,10,0,0,0
-1076,-504,13244,39,27,189,10,-2,0,0
-1028,-520,13296,27,13,198,10,-2,0,0
-1076,-468,13500,23,20,202,10,-2,0,0
-1080,-464,13240,30,21,208,10,-2,0,0
-1084,-420,13300,27,14,190,10,0,0,0
-1176,-452,13416,35,4,202,10,-2,0,0
-1104,-432,13372,33,5,201,10,-2,0,0
-1080,-432,13504,42,27,223,10,0,0,0
-1132,-360,13324,25,7,187,10,0,0,0
-1156,-460,13512,23,13,195,10,0,0,0
-968,-384,13304,35,19,180,10,0,0,0
-1032,-464,13200,24,25,197,10,0,0,0
-1088,-412,13348,50,9,200,10,0,0,0
-996,-428,13384,39,42,198,10,0,0,0
-1080,-416,13368,45,27,201,10,-2,0,0
